Iteration,Flip,Total_Tails,Ratio
336,H,156,0.4643
337,T,157,0.4659
338,T,158,0.4675
339,T,159,0.4690
340,T,160,0.4706
341,T,161,0.4721
342,H,161,0.4708
343,T,162,0.4723
344,H,162,0.4709
345,T,163,0.4725
346,H,163,0.4711
347,T,164,0.4726
348,T,165,0.4741
349,H,165,0.4728
350,H,165,0.4714
351,H,165,0.4701
352,H,165,0.4688
353,T,166,0.4703
354,H,166,0.4689
355,H,166,0.4676
356,T,167,0.4691
357,H,167,0.4678
358,T,168,0.4693
359,H,168,0.4680
360,T,169,0.4694
361,H,169,0.4681
362,H,169,0.4669
363,H,169,0.4656
364,T,170,0.4670
365,T,171,0.4685
366,H,171,0.4672
367,H,171,0.4659
368,H,171,0.4647
369,T,172,0.4661
370,T,173,0.4676
371,T,174,0.4690
372,T,175,0.4704
373,H,175,0.4692
374,H,175,0.4679
375,T,176,0.4693
376,H,176,0.4681
377,H,176,0.4668
378,H,176,0.4656
379,T,177,0.4670
380,T,178,0.4684
381,T,179,0.4698
382,T,180,0.4712
383,T,181,0.4726
384,H,181,0.4714
385,T,182,0.4727
386,T,183,0.4741
387,H,183,0.4729
388,T,184,0.4742
389,H,184,0.4730
390,H,184,0.4718
391,H,184,0.4706
392,H,184,0.4694
393,T,185,0.4707
394,T,186,0.4721
395,H,186,0.4709
396,H,186,0.4697
397,H,186,0.4685
398,H,186,0.4673
399,H,186,0.4662
400,T,187,0.4675
401,T,188,0.4688
402,H,188,0.4677
403,T,189,0.4690
404,T,190,0.4703
405,T,191,0.4716
406,H,191,0.4704
407,H,191,0.4693
408,H,191,0.4681
409,T,192,0.4694
410,T,193,0.4707
411,H,193,0.4696
412,H,193,0.4684
413,H,193,0.4673
414,T,194,0.4686
415,H,194,0.4675
416,H,194,0.4663
417,H,194,0.4652
418,T,195,0.4665
419,T,196,0.4678
420,H,196,0.4667
421,T,197,0.4679
422,H,197,0.4668
423,T,198,0.4681
424,H,198,0.4670
425,H,198,0.4659
426,T,199,0.4671
427,H,199,0.4660
428,H,199,0.4650
429,T,200,0.4662
430,H,200,0.4651
431,T,201,0.4664
432,T,202,0.4676
433,H,202,0.4665
434,T,203,0.4677
435,T,204,0.4690
436,T,205,0.4702
437,H,205,0.4691
438,T,206,0.4703
439,H,206,0.4692
440,H,206,0.4682
441,H,206,0.4671
442,H,206,0.4661
443,H,206,0.4650
444,T,207,0.4662
445,H,207,0.4652
446,T,208,0.4664
447,T,209,0.4676
448,T,210,0.4688
449,T,211,0.4699
450,T,212,0.4711
451,T,213,0.4723
452,H,213,0.4712
453,T,214,0.4724
454,T,215,0.4736
455,H,215,0.4725
456,H,215,0.4715
457,H,215,0.4705
458,T,216,0.4716
459,T,217,0.4728
460,H,217,0.4717
461,T,218,0.4729
462,H,218,0.4719
463,H,218,0.4708
464,H,218,0.4698
465,T,219,0.4710
466,T,220,0.4721
467,H,220,0.4711
468,T,221,0.4722
469,T,222,0.4733
470,T,223,0.4745
471,H,223,0.4735
472,T,224,0.4746
473,H,224,0.4736
474,T,225,0.4747
475,H,225,0.4737
476,H,225,0.4727
477,T,226,0.4738
478,H,226,0.4728
479,H,226,0.4718
480,T,227,0.4729
481,T,228,0.4740
482,T,229,0.4751
483,H,229,0.4741
484,H,229,0.4731
485,H,229,0.4722
486,T,230,0.4733
487,H,230,0.4723
488,H,230,0.4713
489,H,230,0.4703
490,T,231,0.4714
491,T,232,0.4725
492,H,232,0.4715
493,T,233,0.4726
494,H,233,0.4717
495,H,233,0.4707
496,T,234,0.4718
497,H,234,0.4708
498,H,234,0.4699
499,T,235,0.4709
500,H,235,0.4700
501,H,235,0.4691
502,T,236,0.4701
503,H,236,0.4692
504,H,236,0.4683
505,H,236,0.4673
506,T,237,0.4684
507,H,237,0.4675
508,H,237,0.4665
509,H,237,0.4656
510,H,237,0.4647
511,T,238,0.4658
512,H,238,0.4648
513,T,239,0.4659
514,H,239,0.4650
515,T,240,0.4660
516,H,240,0.4651
517,H,240,0.4642
518,T,241,0.4653
519,T,242,0.4663
520,T,243,0.4673
521,H,243,0.4664
522,H,243,0.4655
523,T,244,0.4665
524,H,244,0.4656
525,T,245,0.4667
526,H,245,0.4658
527,T,246,0.4668
528,H,246,0.4659
529,T,247,0.4669
530,T,248,0.4679
531,T,249,0.4689
532,H,249,0.4680
533,T,250,0.4690
534,H,250,0.4682
535,T,251,0.4692
536,T,252,0.4701
537,H,252,0.4693
538,T,253,0.4703
539,T,254,0.4712
540,H,254,0.4704
541,H,254,0.4695
542,H,254,0.4686
543,H,254,0.4678
544,H,254,0.4669
545,T,255,0.4679
546,T,256,0.4689
547,T,257,0.4698
548,H,257,0.4690
549,H,257,0.4681
550,H,257,0.4673
551,H,257,0.4664
552,H,257,0.4656
553,H,257,0.4647
554,H,257,0.4639
555,H,257,0.4631
556,H,257,0.4622
557,H,257,0.4614
558,H,257,0.4606
559,T,258,0.4615
560,H,258,0.4607
561,H,258,0.4599
562,H,258,0.4591
563,T,259,0.4600
564,T,260,0.4610
565,H,260,0.4602
566,H,260,0.4594
567,T,261,0.4603
568,H,261,0.4595
569,H,261,0.4587
570,T,262,0.4596
571,T,263,0.4606
572,H,263,0.4598
573,H,263,0.4590
574,T,264,0.4599
575,T,265,0.4609
576,T,266,0.4618
577,T,267,0.4627
578,H,267,0.4619
579,T,268,0.4629
580,T,269,0.4638
581,H,269,0.4630
582,H,269,0.4622
583,T,270,0.4631
584,H,270,0.4623
585,T,271,0.4632
586,H,271,0.4625
587,T,272,0.4634
588,H,272,0.4626
589,H,272,0.4618
590,T,273,0.4627
591,T,274,0.4636
592,T,275,0.4645
593,H,275,0.4637
594,T,276,0.4646
595,T,277,0.4655
596,T,278,0.4664
597,H,278,0.4657
598,H,278,0.4649
599,H,278,0.4641
600,T,279,0.4650
601,T,280,0.4659
602,T,281,0.4668
603,T,282,0.4677
604,H,282,0.4669
605,H,282,0.4661
606,T,283,0.4670
607,H,283,0.4662
608,H,283,0.4655
609,H,283,0.4647
610,H,283,0.4639
611,T,284,0.4648
612,H,284,0.4641
613,H,284,0.4633
614,H,284,0.4625
615,H,284,0.4618
616,H,284,0.4610
617,H,284,0.4603
618,T,285,0.4612
619,H,285,0.4604
620,H,285,0.4597
621,T,286,0.4605
622,H,286,0.4598
623,H,286,0.4591
624,T,287,0.4599
625,H,287,0.4592
626,H,287,0.4585
627,T,288,0.4593
628,H,288,0.4586
629,H,288,0.4579
630,T,289,0.4587
631,T,290,0.4596
632,H,290,0.4589
633,T,291,0.4597
634,T,292,0.4606
635,T,293,0.4614
636,H,293,0.4607
637,H,293,0.4600
638,H,293,0.4592
639,T,294,0.4601
640,T,295,0.4609
641,H,295,0.4602
642,T,296,0.4611
643,T,297,0.4619
644,H,297,0.4612
645,H,297,0.4605
646,T,298,0.4613
647,H,298,0.4606
648,T,299,0.4614
649,H,299,0.4607
650,T,300,0.4615
651,T,301,0.4624
652,H,301,0.4617
653,H,301,0.4609
654,T,302,0.4618
655,T,303,0.4626
656,T,304,0.4634
657,H,304,0.4627
658,H,304,0.4620
659,H,304,0.4613
660,T,305,0.4621
661,T,306,0.4629
662,H,306,0.4622
663,T,307,0.4630
664,T,308,0.4639
665,T,309,0.4647
666,T,310,0.4655
667,T,311,0.4663
668,T,312,0.4671
669,H,312,0.4664
670,T,313,0.4672
671,T,314,0.4680
672,H,314,0.4673
673,H,314,0.4666
674,H,314,0.4659
675,H,314,0.4652
676,H,314,0.4645
677,H,314,0.4638
678,T,315,0.4646
679,T,316,0.4654
680,T,317,0.4662
681,H,317,0.4655
682,H,317,0.4648
683,H,317,0.4641
684,T,318,0.4649
685,T,319,0.4657
686,T,320,0.4665
687,T,321,0.4672
688,T,322,0.4680
689,H,322,0.4673
690,H,322,0.4667
691,T,323,0.4674
692,H,323,0.4668
693,H,323,0.4661
694,T,324,0.4669
695,T,325,0.4676
696,T,326,0.4684
697,T,327,0.4692
698,T,328,0.4699
699,T,329,0.4707
700,H,329,0.4700
701,H,329,0.4693
702,H,329,0.4687
703,H,329,0.4680
704,H,329,0.4673
705,H,329,0.4667
706,T,330,0.4674
707,T,331,0.4682
708,T,332,0.4689
709,H,332,0.4683
710,T,333,0.4690
711,T,334,0.4698
712,T,335,0.4705
713,T,336,0.4712
714,T,337,0.4720
715,H,337,0.4713
716,H,337,0.4707
717,H,337,0.4700
718,H,337,0.4694
719,H,337,0.4687
720,H,337,0.4681
721,H,337,0.4674
722,H,337,0.4668
723,T,338,0.4675
724,H,338,0.4669
725,T,339,0.4676
726,H,339,0.4669
727,H,339,0.4663
728,T,340,0.4670
729,T,341,0.4678
730,T,342,0.4685
731,H,342,0.4679
732,T,343,0.4686
733,T,344,0.4693
734,T,345,0.4700
735,T,346,0.4707
736,T,347,0.4715
737,T,348,0.4722
738,T,349,0.4729
739,H,349,0.4723
740,T,350,0.4730
741,H,350,0.4723
742,T,351,0.4730
743,T,352,0.4738
744,H,352,0.4731
745,T,353,0.4738
746,H,353,0.4732
747,T,354,0.4739
748,H,354,0.4733
749,H,354,0.4726
750,H,354,0.4720
751,H,354,0.4714
752,H,354,0.4707
753,T,355,0.4714
754,H,355,0.4708
755,H,355,0.4702
756,T,356,0.4709
757,H,356,0.4703
758,H,356,0.4697
759,T,357,0.4704
760,T,358,0.4711
761,H,358,0.4704
762,H,358,0.4698
763,H,358,0.4692
764,T,359,0.4699
765,H,359,0.4693
766,T,360,0.4700
767,T,361,0.4707
768,T,362,0.4714
769,T,363,0.4720
770,T,364,0.4727
771,H,364,0.4721
772,H,364,0.4715
773,H,364,0.4709
774,H,364,0.4703
775,T,365,0.4710
776,H,365,0.4704
777,T,366,0.4710
778,T,367,0.4717
779,H,367,0.4711
780,T,368,0.4718
781,H,368,0.4712
782,H,368,0.4706
783,T,369,0.4713
784,H,369,0.4707
785,H,369,0.4701
786,T,370,0.4707
787,H,370,0.4701
788,T,371,0.4708
789,H,371,0.4702
790,T,372,0.4709
791,T,373,0.4716
792,H,373,0.4710
793,H,373,0.4704
794,H,373,0.4698
795,T,374,0.4704
796,T,375,0.4711
797,H,375,0.4705
798,T,376,0.4712
799,T,377,0.4718
800,H,377,0.4713
801,H,377,0.4707
802,H,377,0.4701
803,T,378,0.4707
804,H,378,0.4701
805,T,379,0.4708
806,H,379,0.4702
807,H,379,0.4696
808,T,380,0.4703
809,H,380,0.4697
810,H,380,0.4691
811,H,380,0.4686
812,T,381,0.4692
813,H,381,0.4686
814,T,382,0.4693
815,T,383,0.4699
816,T,384,0.4706
817,H,384,0.4700
818,H,384,0.4694
819,H,384,0.4689
820,T,385,0.4695
821,H,385,0.4689
822,H,385,0.4684
823,T,386,0.4690
824,T,387,0.4697
825,H,387,0.4691
826,T,388,0.4697
827,H,388,0.4692
828,T,389,0.4698
829,T,390,0.4704
830,T,391,0.4711
831,H,391,0.4705
832,H,391,0.4700
833,T,392,0.4706
834,T,393,0.4712
835,H,393,0.4707
836,T,394,0.4713
837,H,394,0.4707
838,T,395,0.4714
839,H,395,0.4708
840,T,396,0.4714
841,H,396,0.4709
842,T,397,0.4715
843,T,398,0.4721
844,H,398,0.4716
845,H,398,0.4710
846,H,398,0.4704
847,T,399,0.4711
848,T,400,0.4717
849,H,400,0.4711
850,T,401,0.4718
851,T,402,0.4724
852,T,403,0.4730
853,H,403,0.4725
854,T,404,0.4731
855,H,404,0.4725
856,T,405,0.4731
857,T,406,0.4737
858,T,407,0.4744
859,H,407,0.4738
860,T,408,0.4744
861,T,409,0.4750
862,H,409,0.4745
863,H,409,0.4739
864,H,409,0.4734
865,T,410,0.4740
866,T,411,0.4746
867,T,412,0.4752
868,T,413,0.4758
869,T,414,0.4764
870,T,415,0.4770
871,H,415,0.4765
872,H,415,0.4759
873,H,415,0.4754
874,H,415,0.4748
875,T,416,0.4754
876,H,416,0.4749
877,H,416,0.4743
878,T,417,0.4749
879,H,417,0.4744
880,H,417,0.4739
881,T,418,0.4745
882,T,419,0.4751
883,T,420,0.4757
884,T,421,0.4762
885,T,422,0.4768
886,T,423,0.4774
887,H,423,0.4769
888,H,423,0.4764
889,H,423,0.4758
890,T,424,0.4764
891,H,424,0.4759
892,H,424,0.4753
893,T,425,0.4759
894,T,426,0.4765
895,H,426,0.4760
896,H,426,0.4754
897,T,427,0.4760
898,T,428,0.4766
899,T,429,0.4772
900,H,429,0.4767
901,T,430,0.4772
902,H,430,0.4767
903,T,431,0.4773
904,T,432,0.4779
905,T,433,0.4785
906,H,433,0.4779
907,T,434,0.4785
908,T,435,0.4791
909,H,435,0.4785
910,T,436,0.4791
911,T,437,0.4797
912,H,437,0.4792
913,H,437,0.4786
914,H,437,0.4781
915,H,437,0.4776
916,T,438,0.4782
917,T,439,0.4787
918,H,439,0.4782
919,T,440,0.4788
920,H,440,0.4783
921,H,440,0.4777
922,H,440,0.4772
923,H,440,0.4767
924,T,441,0.4773
925,T,442,0.4778
926,H,442,0.4773
927,T,443,0.4779
928,H,443,0.4774
929,T,444,0.4779
930,T,445,0.4785
931,H,445,0.4780
932,T,446,0.4785
933,H,446,0.4780
934,H,446,0.4775
935,T,447,0.4781
936,H,447,0.4776
937,H,447,0.4771
938,H,447,0.4765
939,T,448,0.4771
940,H,448,0.4766
941,H,448,0.4761
942,H,448,0.4756
943,H,448,0.4751
944,H,448,0.4746
945,T,449,0.4751
946,T,450,0.4757
947,T,451,0.4762
948,T,452,0.4768
949,T,453,0.4773
950,T,454,0.4779
951,H,454,0.4774
952,T,455,0.4779
953,H,455,0.4774
954,T,456,0.4780
955,T,457,0.4785
956,T,458,0.4791
957,T,459,0.4796
958,T,460,0.4802
959,H,460,0.4797
960,H,460,0.4792
961,T,461,0.4797
962,T,462,0.4802
963,T,463,0.4808
964,H,463,0.4803
965,H,463,0.4798
966,T,464,0.4803
967,H,464,0.4798
968,T,465,0.4804
969,T,466,0.4809
970,H,466,0.4804
971,T,467,0.4809
972,H,467,0.4805
973,T,468,0.4810
974,H,468,0.4805
975,H,468,0.4800
976,H,468,0.4795
977,H,468,0.4790
978,T,469,0.4796
979,H,469,0.4791
980,H,469,0.4786
981,H,469,0.4781
982,H,469,0.4776
983,H,469,0.4771
984,H,469,0.4766
985,T,470,0.4772
986,T,471,0.4777
987,H,471,0.4772
988,H,471,0.4767
989,H,471,0.4762
990,T,472,0.4768
991,T,473,0.4773
992,T,474,0.4778
993,H,474,0.4773
994,H,474,0.4769
995,T,475,0.4774
996,H,475,0.4769
997,H,475,0.4764
998,H,475,0.4760
999,T,476,0.4765
1000,T,477,0.4770
1001,T,478,0.4775
1002,H,478,0.4770
1003,T,479,0.4776
1004,T,480,0.4781
1005,T,481,0.4786
1006,T,482,0.4791
1007,T,483,0.4796
1008,H,483,0.4792
1009,T,484,0.4797
1010,T,485,0.4802
1011,T,486,0.4807
1012,T,487,0.4812
1013,H,487,0.4808
1014,H,487,0.4803
1015,H,487,0.4798
1016,H,487,0.4793
1017,H,487,0.4789
1018,T,488,0.4794
1019,T,489,0.4799
1020,H,489,0.4794
1021,H,489,0.4789
1022,H,489,0.4785
1023,T,490,0.4790
1024,H,490,0.4785
1025,T,491,0.4790
1026,T,492,0.4795
1027,T,493,0.4800
1028,H,493,0.4796
1029,T,494,0.4801
1030,T,495,0.4806
1031,T,496,0.4811
1032,H,496,0.4806
1033,H,496,0.4802
1034,T,497,0.4807
1035,T,498,0.4812
1036,T,499,0.4817
1037,T,500,0.4822
1038,T,501,0.4827
1039,T,502,0.4832
1040,T,503,0.4837
1041,H,503,0.4832
1042,T,504,0.4837
1043,T,505,0.4842
1044,H,505,0.4837
1045,H,505,0.4833
1046,T,506,0.4837
1047,H,506,0.4833
1048,T,507,0.4838
1049,T,508,0.4843
1050,T,509,0.4848
1051,H,509,0.4843
1052,T,510,0.4848
1053,T,511,0.4853
1054,T,512,0.4858
1055,H,512,0.4853
1056,T,513,0.4858
1057,H,513,0.4853
1058,T,514,0.4858
1059,H,514,0.4854
1060,T,515,0.4858
1061,T,516,0.4863
1062,H,516,0.4859
1063,T,517,0.4864
1064,H,517,0.4859
1065,T,518,0.4864
1066,T,519,0.4869
1067,T,520,0.4873
1068,H,520,0.4869
1069,T,521,0.4874
1070,H,521,0.4869
1071,T,522,0.4874
1072,H,522,0.4869
1073,H,522,0.4865
1074,H,522,0.4860
1075,T,523,0.4865
1076,T,524,0.4870
1077,H,524,0.4865
1078,H,524,0.4861
1079,T,525,0.4866
1080,H,525,0.4861
1081,H,525,0.4857
1082,H,525,0.4852
1083,H,525,0.4848
1084,H,525,0.4843
1085,T,526,0.4848
1086,H,526,0.4843
1087,H,526,0.4839
1088,T,527,0.4844
1089,T,528,0.4848
1090,T,529,0.4853
1091,H,529,0.4849
1092,T,530,0.4853
1093,T,531,0.4858
1094,H,531,0.4854
1095,T,532,0.4858
1096,H,532,0.4854
1097,T,533,0.4859
1098,T,534,0.4863
1099,H,534,0.4859
1100,H,534,0.4855
1101,T,535,0.4859
1102,H,535,0.4855
1103,T,536,0.4859
1104,H,536,0.4855
1105,T,537,0.4860
1106,T,538,0.4864
1107,T,539,0.4869
1108,H,539,0.4865
1109,H,539,0.4860
1110,H,539,0.4856
1111,H,539,0.4851
1112,T,540,0.4856
1113,H,540,0.4852
1114,T,541,0.4856
1115,T,542,0.4861
1116,H,542,0.4857
1117,T,543,0.4861
1118,T,544,0.4866
1119,T,545,0.4870
1120,H,545,0.4866
1121,H,545,0.4862
1122,T,546,0.4866
1123,H,546,0.4862
1124,T,547,0.4867
1125,T,548,0.4871
1126,T,549,0.4876
1127,H,549,0.4871
1128,T,550,0.4876
1129,T,551,0.4880
1130,T,552,0.4885
1131,H,552,0.4881
1132,H,552,0.4876
1133,T,553,0.4881
1134,H,553,0.4877
1135,H,553,0.4872
1136,H,553,0.4868
1137,T,554,0.4872
1138,H,554,0.4868
1139,H,554,0.4864
1140,H,554,0.4860
1141,H,554,0.4855
1142,H,554,0.4851
1143,H,554,0.4847
1144,H,554,0.4843
1145,T,555,0.4847
1146,T,556,0.4852
1147,H,556,0.4847
1148,T,557,0.4852
1149,T,558,0.4856
1150,H,558,0.4852
1151,H,558,0.4848
1152,H,558,0.4844
1153,T,559,0.4848
1154,T,560,0.4853
1155,H,560,0.4848
1156,H,560,0.4844
1157,H,560,0.4840
1158,T,561,0.4845
1159,H,561,0.4840
1160,H,561,0.4836
1161,H,561,0.4832
1162,T,562,0.4836
1163,T,563,0.4841
1164,T,564,0.4845
1165,T,565,0.4850
1166,H,565,0.4846
1167,H,565,0.4841
1168,H,565,0.4837
1169,H,565,0.4833
1170,T,566,0.4838
1171,H,566,0.4833
1172,T,567,0.4838
1173,T,568,0.4842
1174,T,569,0.4847
1175,H,569,0.4843
1176,H,569,0.4838
1177,H,569,0.4834
1178,T,570,0.4839
1179,T,571,0.4843
1180,T,572,0.4847
1181,H,572,0.4843
1182,T,573,0.4848
1183,H,573,0.4844
1184,T,574,0.4848
1185,T,575,0.4852
1186,H,575,0.4848
1187,H,575,0.4844
1188,H,575,0.4840
1189,T,576,0.4844
1190,T,577,0.4849
1191,H,577,0.4845
1192,H,577,0.4841
1193,T,578,0.4845
1194,H,578,0.4841
1195,H,578,0.4837
1196,H,578,0.4833
1197,H,578,0.4829
1198,T,579,0.4833
1199,T,580,0.4837
1200,T,581,0.4842
1201,T,582,0.4846
1202,T,583,0.4850
1203,T,584,0.4855
1204,H,584,0.4850
1205,T,585,0.4855
1206,T,586,0.4859
1207,T,587,0.4863
1208,H,587,0.4859
1209,T,588,0.4864
1210,T,589,0.4868
1211,H,589,0.4864
1212,H,589,0.4860
1213,T,590,0.4864
1214,T,591,0.4868
1215,T,592,0.4872
1216,H,592,0.4868
1217,H,592,0.4864
1218,T,593,0.4869
1219,H,593,0.4865
1220,T,594,0.4869
1221,H,594,0.4865
1222,H,594,0.4861
1223,H,594,0.4857
1224,T,595,0.4861
1225,T,596,0.4865
1226,H,596,0.4861
1227,H,596,0.4857
1228,H,596,0.4853
1229,T,597,0.4858
1230,T,598,0.4862
1231,H,598,0.4858
1232,H,598,0.4854
1233,T,599,0.4858
1234,T,600,0.4862
1235,H,600,0.4858
1236,T,601,0.4862
1237,T,602,0.4867
1238,T,603,0.4871
1239,T,604,0.4875
1240,T,605,0.4879
1241,T,606,0.4883
1242,T,607,0.4887
1243,T,608,0.4891
1244,H,608,0.4887
1245,T,609,0.4892
1246,H,609,0.4888
